Ncoders,who,when,what,observations,ground_truth,distance,CVR,Kalpha
6,9273,3,0,"[{'situation': 'MildlyInjuredPeople', 'object': 'Family', 'coders': 6}]","{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",0,1,1
12,5641,15,0,"[{'situation': 'MildlyInjuredPeople', 'object': 'Family', 'coders': 12}]",,0,1,1
18,6134,14,0,"[{'situation': 'MildlyInjuredPeople', 'object': 'Family', 'coders': 18}]",,0,1,1
24,8442,6,0,"[{'situation': 'MildlyInjuredPeople', 'object': 'Family', 'coders': 24}]",,0,1,1
30,8872,3,0,"[{'situation': 'MildlyInjuredPeople', 'object': 'Family', 'coders': 30}]",,0,1,1
36,4987,3,0,"[{'situation': 'MildlyInjuredPeople', 'object': 'Family', 'coders': 36}]",,0,1,1
42,9804,0,1,"[{'situation': 'MildlyInjuredPeople', 'object': 'Family', 'coders': 36}, {'situation': 'InjuredPeople', 'object': 'GroupOfPeople', 'coders': 6}]",,1,1,0.504
48,9446,3,1,"[{'situation': 'MildlyInjuredPeople', 'object': 'Family', 'coders': 42}, {'situation': 'InjuredPeople', 'object': 'GroupOfPeople', 'coders': 6}]",,0,1,0.558
54,2494,6,1,"[{'situation': 'MildlyInjuredPeople', 'object': 'Family', 'coders': 48}, {'situation': 'InjuredPeople', 'object': 'GroupOfPeople', 'coders': 6}]",,0,1,0.601
60,6808,0,1,"[{'situation': 'MildlyInjuredPeople', 'object': 'Family', 'coders': 54}, {'situation': 'InjuredPeople', 'object': 'GroupOfPeople', 'coders': 6}]",,0,1,0.637
66,6814,11,1,"[{'situation': 'MildlyInjuredPeople', 'object': 'Family', 'coders': 60}, {'situation': 'InjuredPeople', 'object': 'GroupOfPeople', 'coders': 6}]",,0,1,0.667
