sizeTab1,sizeTab2
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,1
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,2
2,3
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
3,7
1,0
1,0
5,5
3,7
1,0
1,1
7,14
4,4
1,4
1,0
1,0
1,0
1,0
1,0
1,0
4,8
1,0
#
1,0
1,0
2,0
1,1
1,0
1,3
2,1
2,3
1,0
1,0
1,0
1,0
2,1
1,0
2,1
5,4
1,0
1,0
1,2
1,0
1,0
1,2
3,4
1,0
3,8
1,0
1,0
1,0
1,0
4,4
1,0
4,6
1,0
1,0
1,0
1,2
2,3
1,0
6,7
1,0
4,9
1,0
5,17
1,0
5,3
3,5
3,4
6,3
1,0
1,0
6,21
1,0
3,6
3,3
1,0
1,0
1,0
1,0
1,0
1,1
4,7
11,22
1,0
7,12
8,15
1,1
10,34
1,0
1,0
3,8
1,0
1,0
1,0
1,0
1,0
3,3
1,0
18,43
6,6
9,13
1,0
1,0
1,0
1,1
1,0
15,47
1,0
10,34
3,2
1,0
1,0
12,29
3,6
1,0
1,3
1,0
27,55
7,13
1,0
8,24
10,39
1,0
19,38
11,26
3,2
#
1,0
1,0
1,0
1,0
1,0
1,1
2,1
1,0
2,1
1,0
4,7
3,3
1,1
1,0
1,0
1,2
2,2
1,0
1,0
5,10
1,0
5,13
1,0
4,7
1,0
1,2
1,1
1,3
1,1
1,0
1,1
1,0
1,0
1,0
5,7
5,15
6,19
1,0
1,0
1,0
2,2
17,38
1,0
2,2
1,0
6,6
1,1
1,0
3,4
1,0
1,0
3,2
1,1
1,0
3,4
1,0
2,1
1,1
1,0
33,83
1,0
4,11
1,0
1,0
5,5
2,1
1,1
1,0
2,1
8,30
9,39
1,1
10,13
1,0
#
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
2,1
1,2
1,0
1,0
1,1
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,3
1,4
1,1
1,0
1,1
1,0
7,6
1,0
4,4
1,0
2,4
6,13
1,0
1,0
1,0
2,6
1,0
1,0
5,5
3,3
6,19
1,3
1,0
1,3
1,0
6,19
4,10
5,9
3,8
8,29
1,1
3,5
1,0
1,0
5,6
1,0
2,2
2,3
1,0
1,0
22,75
1,0
5,14
19,64
2,1
5,8
3,3
5,13
1,0
1,0
1,1
1,0
1,0
1,1
2,6
1,0
1,0
1,0
1,1
5,5
1,0
1,0
2,6
4,15
1,0
1,0
7,10
1,0
1,0
1,0
1,0
1,0
21,71
1,1
1,0
7,17
1,0
#
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,2
1,0
1,0
1,1
1,1
1,1
1,0
1,0
2,1
1,1
1,0
1,0
1,0
1,0
4,7
4,5
1,0
1,1
2,2
8,16
1,0
1,0
1,1
1,0
6,8
2,2
4,4
2,3
1,1
1,0
2,2
4,5
8,24
1,0
3,1
1,0
1,1
2,1
1,0
1,1
1,0
1,1
1,1
1,0
1,1
1,2
1,1
1,2
1,0
1,0
11,42
1,0
1,0
8,32
1,0
6,11
9,16
1,0
1,0
1,0
1,0
#
1,0
1,0
1,0
2,1
1,0
1,0
1,0
1,1
2,2
1,0
2,8
1,0
1,1
1,0
1,0
1,0
4,4
4,4
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,4
2,2
1,0
1,0
1,0
1,0
4,11
8,11
8,19
1,0
2,0
1,0
1,0
3,3
2,2
1,0
1,0
3,3
1,0
1,0
1,2
1,0
1,0
1,0
1,0
1,0
6,8
2,2
1,0
1,0
18,51
1,0
13,31
5,7
1,0
1,0
1,0
1,0
7,12
1,0
1,0
7,14
2,2
5,16
1,0
1,1
8,21
1,0
1,0
1,0
1,0
14,29
8,19
26,96
1,0
3,3
#
1,1
1,0
1,0
1,0
1,1
