event,latency
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",0
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",25
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",25
"{'situation': 'MildlyInjuredPeople', 'object': 'Crowded'}",32
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",0
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",0
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",5
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",61
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",55
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",18
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",19
"{'situation': 'SeverelyInjuredPeople', 'object': 'MiddleAgePerson'}",199
"{'situation': 'SeverelyInjuredPeople', 'object': 'MiddleAgePerson'}",199
"{'situation': 'PanickedPeople', 'object': 'Family'}",145
"{'situation': 'PanickedPeople', 'object': 'Students'}",136
"{'situation': 'PanickedPeople', 'object': 'Family'}",26
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",0
"{'situation': 'CollapsedBuilding', 'object': 'ButcheryShop'}",238
"{'situation': 'BlockedBuilding', 'object': 'Family'}",0
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",227
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",217
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",207
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",182
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",137
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",107
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",50
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",25
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",15
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",0
"{'situation': 'BlockedBuilding', 'object': 'Family'}",0
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",0
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",0
"{'situation': 'BlockedBuilding', 'object': 'Family'}",0
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",0
"{'situation': 'BlockedBuilding', 'object': 'Family'}",0
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",44
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",34
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",15
"{'situation': 'NoWaterPeople', 'object': 'Family'}",344
"{'situation': 'NoWaterPeople', 'object': 'Family'}",326
"{'situation': 'NoWaterPeople', 'object': 'Family'}",335
"{'situation': 'NoWaterPeople', 'object': 'Family'}",301
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",41
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",5
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",0
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",2
"{'situation': 'BlockedBuilding', 'object': 'Family'}",0
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",206
