id,dir_obs_id,observer,a1,a2,sender,where,when,sent_at_loop,sent_where
1,1,459,459,60,60,4364793650,6,6,4364793650
2,2,551,551,58,58,6119949795,10,10,6119949795
3,3,60,60,60,60,4364446714,12,12,4364446714
4,4,90,90,90,90,932300411,17,17,932300411
5,5,60,60,60,60,4364446714,18,18,4364446714
6,6,606,606,60,60,4364446714,18,18,4364446714
7,7,127,127,90,90,932300411,18,18,932300411
8,8,625,625,90,90,932300411,18,18,932300411
9,9,97,97,97,97,4365911071,18,18,4365911071
10,10,441,441,63,63,932302451,23,23,932302451
11,11,441,441,63,63,932302451,23,23,932302451
12,12,441,441,63,63,932302451,23,23,932302451
13,13,441,441,63,63,932302451,23,23,932302451
14,14,973,973,60,60,4364209136,24,24,4364209136
15,1,459,459,606,73,4364793656,8,27,4365361349
16,1,459,606,73,73,4365361349,27,27,4365361349
17,1,459,973,73,73,4365361349,27,27,4365361349
18,1,459,459,60,73,4364793650,6,27,4365361349
19,1,459,606,60,73,4364793648,15,27,4365361349
20,1,459,60,973,73,4364209136,24,27,4365361349
21,3,60,60,606,73,4364793648,15,27,4365361349
22,3,60,606,73,73,4365361349,27,27,4365361349
23,3,60,973,73,73,4365361349,27,27,4365361349
24,3,60,60,973,73,4364209136,24,27,4365361349
25,6,606,606,73,73,4365361349,27,27,4365361349
26,6,606,973,73,73,4365361349,27,27,4365361349
27,6,606,606,60,73,4364446714,18,27,4365361349
28,6,606,60,973,73,4364209136,24,27,4365361349
29,5,60,60,606,73,4364446714,18,27,4365361349
30,14,973,973,73,73,4365361349,27,27,4365361349
31,8,625,625,84,84,932301931,27,27,932301931
32,4,90,90,625,84,932300411,18,27,932301931
33,4,90,127,625,84,932300411,18,27,932301931
34,4,90,90,127,84,932300411,18,27,932301931
35,4,90,625,84,84,932301931,27,27,932301931
36,7,127,127,90,84,932300411,18,27,932301931
37,7,127,90,625,84,932300411,18,27,932301931
38,7,127,127,625,84,932300411,18,27,932301931
39,7,127,625,84,84,932301931,27,27,932301931
40,15,625,625,84,84,932301931,27,27,932301931
41,16,127,127,625,84,932300411,24,27,932301931
42,16,127,625,84,84,932301931,27,27,932301931
43,15,625,625,84,90,932301931,27,30,4364599018
44,15,625,84,90,90,4364599018,30,30,4364599018
45,15,625,625,90,90,4364599018,30,30,4364599018
46,16,127,127,625,90,932300411,24,30,4364599018
47,16,127,625,84,90,932301931,27,30,4364599018
48,16,127,84,90,90,4364599018,30,30,4364599018
49,16,127,625,90,90,4364599018,30,30,4364599018
50,17,281,281,42,42,4364431357,33,33,4364431357
51,17,281,586,42,42,4364431357,33,33,4364431357
52,17,281,281,586,42,4364796484,30,33,4364431357
53,1,459,459,335,42,3030507584,19,33,4364431357
54,1,459,335,281,42,932303796,25,33,4364431357
55,1,459,281,42,42,4364431357,33,33,4364431357
56,1,459,586,42,42,4364431357,33,33,4364431357
57,1,459,281,586,42,4364796484,30,33,4364431357
58,17,281,281,923,73,4364793649,9,35,4364209136
59,17,281,335,923,73,4364209136,28,35,4364209136
60,17,281,281,335,73,932303796,25,35,4364209136
61,17,281,923,73,73,4364209136,35,35,4364209136
62,17,281,281,42,38,4364431357,33,36,4365361355
63,17,281,586,42,38,4364431357,33,36,4365361355
64,17,281,281,586,38,4364796484,30,36,4365361355
65,17,281,42,38,38,4365361355,36,36,4365361355
66,17,281,281,38,38,4365361355,36,36,4365361355
67,1,459,459,335,38,3030507584,19,36,4365361355
68,1,459,335,281,38,932303796,25,36,4365361355
69,1,459,281,42,38,4364431357,33,36,4365361355
70,1,459,586,42,38,4364431357,33,36,4365361355
71,1,459,281,586,38,4364796484,30,36,4365361355
72,1,459,42,38,38,4365361355,36,36,4365361355
73,1,459,281,38,38,4365361355,36,36,4365361355
74,18,14,14,14,14,4366956861,33,42,3030512733
75,19,964,964,14,14,4366956861,33,42,3030512733
76,20,964,964,14,14,4366956861,33,42,3030512733
77,17,281,281,923,60,4364793649,9,42,4364796481
78,17,281,335,923,60,4364209136,28,42,4364796481
79,17,281,281,335,60,932303796,25,42,4364796481
80,17,281,923,73,60,4364209136,35,42,4364796481
81,17,281,73,60,60,4364796481,42,42,4364796481
82,21,84,84,84,84,932300411,48,48,932300411
83,22,625,625,84,84,932300411,48,48,932300411
84,23,979,979,956,19,4367529463,31,49,8379327149
85,23,979,956,19,19,8325961470,42,49,8379327149
86,24,645,645,979,19,4364340025,9,49,8379327149
87,24,645,979,956,19,4367529463,31,49,8379327149
88,24,645,956,19,19,8325961470,42,49,8379327149
89,1,459,459,606,24,4364793656,8,49,4364431357
90,1,459,606,73,24,4365361349,27,49,4364431357
91,1,459,973,73,24,4365361349,27,49,4364431357
92,1,459,459,60,24,4364793650,6,49,4364431357
93,1,459,606,60,24,4364793648,15,49,4364431357
94,1,459,60,973,24,4364209136,24,49,4364431357
95,1,459,60,73,24,4364209136,30,49,4364431357
96,1,459,402,73,24,4365361349,32,49,4364431357
97,1,459,606,402,24,4364796481,30,49,4364431357
98,1,459,586,73,24,4364796484,48,49,4364431357
99,1,459,459,335,24,3030507584,19,49,4364431357
100,1,459,335,281,24,932303796,25,49,4364431357
101,1,459,281,586,24,4364796484,30,49,4364431357
102,1,459,73,24,24,4364431357,49,49,4364431357
103,3,60,60,606,24,4364793648,15,49,4364431357
104,3,60,606,73,24,4365361349,27,49,4364431357
105,3,60,973,73,24,4365361349,27,49,4364431357
106,3,60,60,973,24,4364209136,24,49,4364431357
107,3,60,60,73,24,4364209136,30,49,4364431357
108,3,60,402,73,24,4365361349,32,49,4364431357
109,3,60,973,606,24,4365361349,27,49,4364431357
110,3,60,606,402,24,4364796481,30,49,4364431357
111,3,60,73,24,24,4364431357,49,49,4364431357
112,6,606,606,73,24,4365361349,27,49,4364431357
113,6,606,973,73,24,4365361349,27,49,4364431357
114,6,606,606,60,24,4364446714,18,49,4364431357
115,6,606,60,973,24,4364209136,24,49,4364431357
