id,dir_obs_id,observer,a1,a2,sender,where,when,sent_at_loop,sent_where
1,1,978,978,11,11,387949872,0,0,387949872
2,2,52,52,52,52,6140707289,0,0,6140707289
3,3,72,72,72,72,6140707202,0,0,3787962755
4,4,85,85,85,85,4365361323,0,0,4364521907
5,5,220,220,17,17,4364777943,3,3,4364777943
6,6,793,793,220,17,4365378349,0,3,4364777943
7,6,793,220,17,17,4364777943,3,3,4364777943
8,7,3,3,3,3,6140707115,5,5,6140707115
9,8,459,459,60,60,4364793650,6,6,4364793650
10,9,94,94,94,94,4364209089,7,7,4364209089
11,10,551,551,58,58,6119949795,10,10,6119949795
12,11,52,52,52,52,6140707289,12,12,6140707289
13,12,60,60,60,60,4364446714,12,12,4364446714
14,13,94,94,94,94,4364209089,13,13,4364209089
15,14,987,987,94,94,4364209089,14,14,4364209089
16,15,863,863,506,78,4357786066,4,15,4357784253
17,15,863,506,78,78,4357784253,15,15,4357784253
18,16,536,536,506,78,932304442,10,15,4357784253
19,16,536,506,78,78,4357784253,15,15,4357784253
20,17,26,26,26,26,4366136252,16,16,4366136252
21,18,90,90,90,90,932300411,17,17,932300411
22,19,17,17,17,17,4365378349,18,18,4365378349
23,20,60,60,60,60,4364446714,18,18,4364446714
24,21,606,606,60,60,4364446714,18,18,4364446714
25,22,150,150,863,78,4357786070,17,18,4357786066
26,22,150,863,506,78,4357786066,18,18,4357786066
27,22,150,506,78,78,4357786066,18,18,4357786066
28,22,150,863,78,78,4357786066,18,18,4357786066
29,23,150,150,863,78,4357786070,17,18,4357786066
30,23,150,863,506,78,4357786066,18,18,4357786066
31,23,150,506,78,78,4357786066,18,18,4357786066
32,23,150,863,78,78,4357786066,18,18,4357786066
33,24,127,127,90,90,932300411,18,18,932300411
34,25,625,625,90,90,932300411,18,18,932300411
35,26,97,97,97,97,4365911071,18,18,4365911071
36,27,94,94,94,94,4364209089,21,21,4364209089
37,28,347,347,17,17,4365378349,23,23,4365378349
38,29,441,441,63,63,932302451,23,23,932302451
39,30,441,441,63,63,932302451,23,23,932302451
40,31,441,441,63,63,932302451,23,23,932302451
41,32,441,441,63,63,932302451,23,23,932302451
42,33,973,973,60,60,4364209136,24,24,4364209136
43,34,536,536,78,78,4357786070,24,24,4357786070
44,35,149,149,94,94,1818066398,25,25,1818066398
45,36,149,149,94,94,1818066398,25,25,1818066398
46,37,771,771,17,17,3787956587,27,27,3787956587
47,38,793,793,771,17,4365378349,6,27,3787956587
48,38,793,771,17,17,3787956587,27,27,3787956587
49,8,459,459,606,73,4364793656,8,27,4365361349
50,8,459,606,73,73,4365361349,27,27,4365361349
51,8,459,973,73,73,4365361349,27,27,4365361349
52,8,459,459,60,73,4364793650,6,27,4365361349
