Ncoders,who,when,what,observations,ground_truth,distance,CVR,Kalpha
6,8425,0,0,"[{'situation': 'NoFoodPeople', 'object': 'GreenGrocery', 'coders': 6}]","{'situation': 'NoFoodPeople', 'object': 'GreenGrocery'}",0,1,1
12,811,0,0,"[{'situation': 'NoFoodPeople', 'object': 'GreenGrocery', 'coders': 12}]",,0,1,1
18,817,0,1,"[{'situation': 'NoFoodPeople', 'object': 'GreenGrocery', 'coders': 12}, {'situation': 'NoFoodPeople', 'object': 'Shop', 'coders': 6}]",,1,0,0.085
24,5529,0,1,"[{'situation': 'NoFoodPeople', 'object': 'GreenGrocery', 'coders': 18}, {'situation': 'NoFoodPeople', 'object': 'Shop', 'coders': 6}]",,0,1,0.234
30,5651,0,1,"[{'situation': 'NoFoodPeople', 'object': 'GreenGrocery', 'coders': 24}, {'situation': 'NoFoodPeople', 'object': 'Shop', 'coders': 6}]",,0,1,0.349
36,4128,6,1,"[{'situation': 'NoFoodPeople', 'object': 'GreenGrocery', 'coders': 30}, {'situation': 'NoFoodPeople', 'object': 'Shop', 'coders': 6}]",,0,1,0.437
42,7655,6,1,"[{'situation': 'NoFoodPeople', 'object': 'GreenGrocery', 'coders': 36}, {'situation': 'NoFoodPeople', 'object': 'Shop', 'coders': 6}]",,0,1,0.504
48,9781,3,1,"[{'situation': 'NoFoodPeople', 'object': 'GreenGrocery', 'coders': 42}, {'situation': 'NoFoodPeople', 'object': 'Shop', 'coders': 6}]",,0,1,0.558
54,3475,3,1,"[{'situation': 'NoFoodPeople', 'object': 'GreenGrocery', 'coders': 48}, {'situation': 'NoFoodPeople', 'object': 'Shop', 'coders': 6}]",,0,1,0.601
60,6280,0,1,"[{'situation': 'NoFoodPeople', 'object': 'GreenGrocery', 'coders': 54}, {'situation': 'NoFoodPeople', 'object': 'Shop', 'coders': 6}]",,0,1,0.637
66,4442,3,1,"[{'situation': 'NoFoodPeople', 'object': 'GreenGrocery', 'coders': 60}, {'situation': 'NoFoodPeople', 'object': 'Shop', 'coders': 6}]",,0,1,0.667
72,8309,3,1,"[{'situation': 'NoFoodPeople', 'object': 'GreenGrocery', 'coders': 66}, {'situation': 'NoFoodPeople', 'object': 'Shop', 'coders': 6}]",,0,1,0.692
