id,dir_obs_id,observer,a1,a2,sender,where,when,sent_at_loop,sent_where
1,1,7438,7438,19,19,2341784479,0,0,2341784479
2,2,557,557,7438,19,2341784419,0,0,2341784479
3,2,557,913,7438,19,2341784419,0,0,2341784479
4,2,557,557,913,19,2341784419,0,0,2341784479
5,2,557,4053,7438,19,2341784419,0,0,2341784479
6,2,557,557,4053,19,2341784419,0,0,2341784479
7,2,557,913,4053,19,2341784419,0,0,2341784479
8,2,557,7438,19,19,2341784479,0,0,2341784479
9,3,913,913,557,19,2341784419,0,0,2341784479
10,3,913,557,7438,19,2341784419,0,0,2341784479
11,3,913,913,7438,19,2341784419,0,0,2341784479
12,3,913,4053,7438,19,2341784419,0,0,2341784479
13,3,913,557,4053,19,2341784419,0,0,2341784479
14,3,913,913,4053,19,2341784419,0,0,2341784479
15,3,913,7438,19,19,2341784479,0,0,2341784479
16,4,4053,4053,557,19,2341784419,0,0,2341784479
17,4,4053,557,7438,19,2341784419,0,0,2341784479
18,4,4053,913,7438,19,2341784419,0,0,2341784479
19,4,4053,557,913,19,2341784419,0,0,2341784479
20,4,4053,4053,913,19,2341784419,0,0,2341784479
21,4,4053,4053,7438,19,2341784419,0,0,2341784479
22,4,4053,7438,19,19,2341784479,0,0,2341784479
23,5,2450,2450,25,25,2183461742,0,0,2183461742
24,5,2450,7944,25,25,2183461742,0,0,2183461742
25,5,2450,2450,7944,25,2334182140,0,0,2183461742
26,6,7944,7944,2450,25,2334182140,0,0,2183461742
27,6,7944,2450,25,25,2183461742,0,0,2183461742
28,6,7944,7944,25,25,2183461742,0,0,2183461742
29,7,506,506,41,41,6698753648,0,0,6698753648
30,7,506,674,41,41,6698753648,0,0,6698753648
31,7,506,506,674,41,6698753650,0,0,6698753648
32,7,506,1278,41,41,6698753648,0,0,6698753648
33,7,506,506,1278,41,6698753650,0,0,6698753648
34,7,506,674,1278,41,6698753650,0,0,6698753648
35,7,506,3434,41,41,6698753648,0,0,6698753648
36,7,506,506,3434,41,6698753650,0,0,6698753648
37,7,506,674,3434,41,6698753650,0,0,6698753648
38,7,506,1278,3434,41,6698753650,0,0,6698753648
39,8,674,674,506,41,6698753650,0,0,6698753648
40,8,674,506,41,41,6698753648,0,0,6698753648
41,8,674,674,41,41,6698753648,0,0,6698753648
42,8,674,1278,41,41,6698753648,0,0,6698753648
43,8,674,506,1278,41,6698753650,0,0,6698753648
44,8,674,674,1278,41,6698753650,0,0,6698753648
45,8,674,3434,41,41,6698753648,0,0,6698753648
46,8,674,506,3434,41,6698753650,0,0,6698753648
47,8,674,674,3434,41,6698753650,0,0,6698753648
48,8,674,1278,3434,41,6698753650,0,0,6698753648
49,9,1278,1278,506,41,6698753650,0,0,6698753648
50,9,1278,506,41,41,6698753648,0,0,6698753648
51,9,1278,674,41,41,6698753648,0,0,6698753648
52,9,1278,506,674,41,6698753650,0,0,6698753648
53,9,1278,1278,674,41,6698753650,0,0,6698753648
54,9,1278,1278,41,41,6698753648,0,0,6698753648
55,9,1278,3434,41,41,6698753648,0,0,6698753648
56,9,1278,506,3434,41,6698753650,0,0,6698753648
57,9,1278,674,3434,41,6698753650,0,0,6698753648
58,9,1278,1278,3434,41,6698753650,0,0,6698753648
59,10,3434,3434,506,41,6698753650,0,0,6698753648
60,10,3434,506,41,41,6698753648,0,0,6698753648
61,10,3434,674,41,41,6698753648,0,0,6698753648
62,10,3434,506,674,41,6698753650,0,0,6698753648
63,10,3434,3434,674,41,6698753650,0,0,6698753648
64,10,3434,1278,41,41,6698753648,0,0,6698753648
65,10,3434,506,1278,41,6698753650,0,0,6698753648
66,10,3434,674,1278,41,6698753650,0,0,6698753648
67,10,3434,3434,1278,41,6698753650,0,0,6698753648
68,10,3434,3434,41,41,6698753648,0,0,6698753648
69,11,1536,1536,57,57,1573887673,0,0,1573887673
70,11,1536,3097,57,57,1573887673,0,0,1573887673
71,11,1536,1536,3097,57,1573887696,0,0,1573887673
72,11,1536,9535,57,57,1573887673,0,0,1573887673
73,11,1536,1536,9535,57,1573887696,0,0,1573887673
74,11,1536,3097,9535,57,1573887696,0,0,1573887673
75,12,3097,3097,1536,57,1573887696,0,0,1573887673
76,12,3097,1536,57,57,1573887673,0,0,1573887673
77,12,3097,3097,57,57,1573887673,0,0,1573887673
78,12,3097,9535,57,57,1573887673,0,0,1573887673
79,12,3097,1536,9535,57,1573887696,0,0,1573887673
80,12,3097,3097,9535,57,1573887696,0,0,1573887673
81,13,9535,9535,1536,57,1573887696,0,0,1573887673
82,13,9535,1536,57,57,1573887673,0,0,1573887673
83,13,9535,3097,57,57,1573887673,0,0,1573887673
84,13,9535,1536,3097,57,1573887696,0,0,1573887673
85,13,9535,9535,3097,57,1573887696,0,0,1573887673
86,13,9535,9535,57,57,1573887673,0,0,1573887673
87,14,89,89,89,89,2125013107,0,0,2125013111
88,15,1423,1423,89,89,2125013107,0,0,2125013111
89,16,3339,3339,89,89,2125013107,0,0,2125013111
90,17,5278,5278,89,89,2125013107,0,0,2125013111
91,18,6777,6777,89,89,2125013107,0,0,2125013111
92,19,2574,2574,7,7,3103662122,3,3,3103662122
93,20,6332,6332,2574,7,394034737,0,3,3103662122
94,20,6332,2574,7,7,3103662122,3,3,3103662122
95,21,6350,6350,2574,7,394034737,0,3,3103662122
96,21,6350,2574,7,7,3103662122,3,3,3103662122
97,22,8209,8209,2574,7,394034737,0,3,3103662122
98,22,8209,2574,7,7,3103662122,3,3,3103662122
99,23,1462,1462,9441,39,3459652023,0,3,319201945
100,23,1462,1608,9441,39,3459652023,0,3,319201945
101,23,1462,1462,1608,39,3459652023,0,3,319201945
102,23,1462,9441,39,39,319201945,3,3,319201945
103,24,58,58,58,58,394933697,3,3,394933697
104,25,5620,5620,4994,58,394933701,0,3,394933697
105,25,5620,6281,4994,58,394933701,0,3,394933697
106,25,5620,5620,6281,58,394933697,0,3,394933697
107,25,5620,6756,4994,58,394933701,0,3,394933697
108,25,5620,5620,6756,58,394933697,0,3,394933697
109,25,5620,6281,6756,58,394933697,0,3,394933697
