Ncoders,who,when,what,observations,ground_truth,distance,CVR,Kalpha
6,1519,0,0,"[{'situation': 'DeadPeople', 'object': 'Crossroad', 'coders': 6}]","{'situation': 'DeadPeople', 'object': 'Crossroad'}",0,1,1
12,4359,0,0,"[{'situation': 'DeadPeople', 'object': 'Crossroad', 'coders': 12}]",,0,1,1
18,9082,0,0,"[{'situation': 'DeadPeople', 'object': 'Crossroad', 'coders': 18}]",,0,1,1
24,3132,16,0,"[{'situation': 'DeadPeople', 'object': 'Crossroad', 'coders': 24}]",,0,1,1
30,2310,17,0,"[{'situation': 'DeadPeople', 'object': 'Crossroad', 'coders': 30}]",,0,1,1
36,590,32,0,"[{'situation': 'DeadPeople', 'object': 'Crossroad', 'coders': 36}]",,0,1,1
42,1018,41,0,"[{'situation': 'DeadPeople', 'object': 'Crossroad', 'coders': 42}]",,0,1,1
48,6071,53,0,"[{'situation': 'DeadPeople', 'object': 'Crossroad', 'coders': 48}]",,0,1,1
54,8218,56,0,"[{'situation': 'DeadPeople', 'object': 'Crossroad', 'coders': 54}]",,0,1,1
60,6463,67,0,"[{'situation': 'DeadPeople', 'object': 'Crossroad', 'coders': 60}]",,0,1,1
66,3091,109,0,"[{'situation': 'DeadPeople', 'object': 'Crossroad', 'coders': 66}]",,0,1,1
72,7952,109,0,"[{'situation': 'DeadPeople', 'object': 'Crossroad', 'coders': 72}]",,0,1,1
78,9120,79,0,"[{'situation': 'DeadPeople', 'object': 'Crossroad', 'coders': 78}]",,0,1,1
84,4178,91,0,"[{'situation': 'DeadPeople', 'object': 'Crossroad', 'coders': 84}]",,0,1,1
90,4639,91,0,"[{'situation': 'DeadPeople', 'object': 'Crossroad', 'coders': 90}]",,0,1,1
96,4183,104,0,"[{'situation': 'DeadPeople', 'object': 'Crossroad', 'coders': 96}]",,0,1,1
102,7119,128,0,"[{'situation': 'DeadPeople', 'object': 'Crossroad', 'coders': 102}]",,0,1,1
